"ID";"ErgZei";"Typ"
132;"Theresa Sonnberger +0:22.63";
133;"Schiedsrichter: FALK, Mary Carol (Ladenburg, GER)";
134;"Internet: https://breisacher-ruderverein.de Seite 3/46";
135;"Breisacher Ruderverein e.V. Report erstellt: SO 27 JUL 2025 / 17:17 Version 7.0";
136;"Vorlauf 2";
137;"Rang StNr Boot/Mannschaft Ergebnis";
138;"1 8 Rudergesellschaft Heidelberg 1898 e.V. (Boot 1) 4:08.77";
139;"Sofia Woelke";
140;"2 7 Ruderverein 'Neptun' e.V. Konstanz gegründet 1885 4:11.18";
141;"Maximiliane Blaser +0:02.40";
142;"3 5 Marbacher Ruderverein von 1920 e.V. 4:12.23";
143;"Charlotte Schünemann +0:03.46";
144;"4 6 Rudergesellschaft Eberbach 1899 e.V. 4:20.51";
145;"Lili Kunze +0:11.73";
146;"Schiedsrichter: LANDMANN, Lucas (Breisach, GER)";
147;"Finale";
148;"Rang StNr Boot/Mannschaft Ergebnis";
149;"1 8 Rudergesellschaft Heidelberg 1898 e.V. (Boot 1) 4:10.39";
150;"Sofia Woelke";
151;"2 5 Marbacher Ruderverein von 1920 e.V. 4:15.90";
152;"Charlotte Schünemann +0:05.51";
153;"3 7 Ruderverein 'Neptun' e.V. Konstanz gegründet 1885 4:19.27";
154;"Maximiliane Blaser +0:08.88";
155;"4 4 Stuttgarter Rudergesellschaft von 1899 e.V. 4:23.57";
156;"Helene Wünsche +0:13.18";
157;"5 3 Rudergesellschaft Heidelberg 1898 e.V. (Boot 2) 4:24.27";
158;"Ava Zivanovic +0:13.88";
159;"6 2 Ruderclub Undine e.V. Radolfzell 4:30.44";
160;"Sofia Shukow +0:20.05";
161;"Schiedsrichter: MENOLD, Klaus (Heidelberg, GER)";
162;"Abmeldungen";
163;"9 Mannheimer Ruder-Club von 1875 e.V.";
164;"Rennen 107 - Jung 2x 12+13 LG, Lgw.-Jungen-Doppelzweier 12 u. 13 Jahre";
165;"Finale";
166;"Rang StNr Boot/Mannschaft Ergebnis";
167;"1 2 Lauffener Ruderclub ""Neckar"" e.V. 1931 4:31.77";
168;"Nathanael Ehmer, Kilian Saur";
169;"2 4 Heidelberger Ruderklub 1872 e.V. 4:40.19";
170;"Paul Kenneweg, Carl Kihm +4:40.19";
171;"3 3 Mannheimer RV Amicitia von 1876 5:06.96";
172;"David Kuhn, Moritz Bach +5:06.96";
173;"1 Ruderverein Waldsee 1900 e.V. ausgeschlossen";
174;"Unai Coronado-Damm, Elias Sonnberger";
175;"Schiedsrichter: FALK, Mary Carol (Ladenburg, GER)";
176;"Internet: https://breisacher-ruderverein.de Seite 4/46";
177;"Breisacher Ruderverein e.V. Report erstellt: SO 27 JUL 2025 / 17:17 Version 7.0";
178;"Rennen 108 - JF 1x B, Juniorinnen-Einer B";
179;"Vorlauf 1";
180;"Rang StNr Boot/Mannschaft Ergebnis";
181;"1 3 Rudergesellschaft Heidelberg 1898 e.V. (Boot 2) 4:03.13";
182;"Carla Zajonc";
183;"2 4 Mannheimer Regatta-Verein e.V. (Boot 2) 4:10.18";
184;"Isa Charlotte Jaclin +0:07.04";
185;"3 5 Heidelberger Ruderklub 1872 e.V. 4:17.78";
186;"Amanda Arnold +0:14.65";
187;"4 2 Karlsruher Ruder-Verein Wiking von 1879 e.V. (Boot 1) 4:19.21";
188;"Charlotte Wiener +0:16.07";
189;"5 1 Ulmer Ruderclub Donau e.V. (Boot 3) 4:19.50";
190;"Johanna Durst +0:16.37";
191;"Schiedsrichter: KORGITZSCH, Frank-Michael (Bad Dürkheim, GER)";
192;"Vorlauf 2";
193;"Rang StNr Boot/Mannschaft Ergebnis";
194;"1 11 Stuttgarter Rudergesellschaft von 1899 e.V. 3:57.03";
195;"Caitlin Morton";
196;"2 13 Marbacher Ruderverein von 1920 e.V. 3:59.77";
197;"Aurelia Hammer +0:02.74";
198;"3 8 Ulmer Ruderclub Donau e.V. (Boot 2) 4:05.73";
199;"Franziska Durst +0:08.69";
