1;Schnulli Bulli;id;inhalt;quelle
52;Schnulli Bulli;51;6 1 POL SEWERYN Zofia 3:23.51 (6) 6:57.13 (6) 10:34.05 (6) 14:05.80 6;Sammelmappe1.pdf (Seite 2)
53;Schnulli Bulli;52;3:33.62 (6) 3:36.92 (6) 3:31.75 (6);Sammelmappe1.pdf (Seite 2)
54;Schnulli Bulli;53;56.66 1:53.67 2:51.54 3:47.31;Sammelmappe1.pdf (Seite 2)
55;Schnulli Bulli;54;Legend:;Sammelmappe1.pdf (Seite 2)
56;Schnulli Bulli;55;F Final;Sammelmappe1.pdf (Seite 2)
57;Schnulli Bulli;56;INTERNET Service: www.worldrowing.com Page 1/1;Sammelmappe1.pdf (Seite 2)
58;Schnulli Bulli;57;World Rowing Data Service data processing by;Sammelmappe1.pdf (Seite 2)
59;Schnulli Bulli;58;Report Created FRI 26 SEP 2025 / 14:19;Sammelmappe1.pdf (Seite 2)
60;Schnulli Bulli;59;Shanghai, China 21 - 28 September 2025;Sammelmappe1.pdf (Seite 3)
61;Schnulli Bulli;60;84 Results PR3 Mix2x;Sammelmappe1.pdf (Seite 3)
62;Schnulli Bulli;61;(Event) PR3 Mixed Double Sculls FA;Sammelmappe1.pdf (Seite 3)
63;Schnulli Bulli;62;SUN 28 SEP 2025 Race 134;Sammelmappe1.pdf (Seite 3)
64;Schnulli Bulli;63;World Best: GER HELMICH Jan / KRUMBEIN Hermine Varese (ITA) 2025 World Cup 7:05.24;Sammelmappe1.pdf (Seite 3)
65;Schnulli Bulli;64;World Champ' Best: AUS AYERS Nikki / ALTSCHWAGER Jed Belgrade (SRB) 2023 World Championships 7:20.93;Sammelmappe1.pdf (Seite 3)
66;Schnulli Bulli;65;World Champion: AUS AYERS Nikki / ALTSCHWAGER Jed Belgrade (SRB) 2023 World Championships 8:07.07;Sammelmappe1.pdf (Seite 3)
67;Schnulli Bulli;66;Ctry Total;Sammelmappe1.pdf (Seite 3)
68;Schnulli Bulli;67;Rank Lane Name Gender 500m 1000m 1500m 2000m;Sammelmappe1.pdf (Seite 3)
69;Schnulli Bulli;68;Code Rank;Sammelmappe1.pdf (Seite 3)
70;Schnulli Bulli;69;1 3 GER (b) LUZ Valentin M 1:40.84 (1) 3:25.24 (1) 5:11.13 (1) 6:58.64 1 WB;Sammelmappe1.pdf (Seite 3)
71;Schnulli Bulli;70;(s) MARCHAND Kathrin F 1:44.40 (1) 1:45.89 (1) 1:47.51 (4);Sammelmappe1.pdf (Seite 3)
72;Schnulli Bulli;71;2 2 UKR (b) SAMOLIUK Stanislav M 1:41.60 (3) 3:29.74 (2) 5:19.57 (2) 7:05.33 2;Sammelmappe1.pdf (Seite 3)
73;Schnulli Bulli;72;(s) KOTYK Dariia F 1:48.14 (2) 1:49.83 (4) 1:45.76 (2);Sammelmappe1.pdf (Seite 3)
74;Schnulli Bulli;73;0.76 4.50 8.44 6.69;Sammelmappe1.pdf (Seite 3)
75;Schnulli Bulli;74;3 5 AUS (b) GREISSL Lisa F 1:42.61 (4) 3:31.64 (4) 5:21.53 (4) 7:06.60 3;Sammelmappe1.pdf (Seite 3)
76;Schnulli Bulli;75;(s) STUNELL Sam M 1:49.03 (5) 1:49.89 (5) 1:45.07 (1);Sammelmappe1.pdf (Seite 3)
77;Schnulli Bulli;76;1.77 6.40 10.40 7.96;Sammelmappe1.pdf (Seite 3)
