1;Schnulli Bulli;id;inhalt;quelle
220;Schnulli Bulli;219;(Event) Women's Double Sculls FB;Sammelmappe1.pdf (Seite 8)
221;Schnulli Bulli;220;FRI 26 SEP 2025 Race 103;Sammelmappe1.pdf (Seite 8)
222;Schnulli Bulli;221;World Best: AUS ALDERSEY Olympia / KEHOE Sally Amsterdam (NED) 2014 World Championships 6:37.31;Sammelmappe1.pdf (Seite 8)
223;Schnulli Bulli;222;World Champ' Best: AUS ALDERSEY Olympia / KEHOE Sally Amsterdam (NED) 2014 World Championships 6:37.31;Sammelmappe1.pdf (Seite 8)
224;Schnulli Bulli;223;World Champion: ROU BODNAR Ancuta / RADIS Simona Belgrade (SRB) 2023 World Championships 6:46.94;Sammelmappe1.pdf (Seite 8)
225;Schnulli Bulli;224;Ctry Total;Sammelmappe1.pdf (Seite 8)
226;Schnulli Bulli;225;Rank Lane Name 500m 1000m 1500m 2000m;Sammelmappe1.pdf (Seite 8)
227;Schnulli Bulli;226;Code Rank;Sammelmappe1.pdf (Seite 8)
228;Schnulli Bulli;227;1 2 IRL (b) HYDE Zoe 1:43.22 (2) 3:30.18 (2) 5:17.21 (2) 7:00.20 7;Sammelmappe1.pdf (Seite 8)
229;Schnulli Bulli;228;(s) CREMEN Margaret 1:46.96 (3) 1:47.03 (2) 1:42.99 (1);Sammelmappe1.pdf (Seite 8)
230;Schnulli Bulli;229;0.31 1.85 1.48;Sammelmappe1.pdf (Seite 8)
231;Schnulli Bulli;230;2 4 USA (b) DARVIN Isabela, Isa 1:44.71 (4) 3:30.37 (3) 5:17.32 (3) 7:00.93 8;Sammelmappe1.pdf (Seite 8)
232;Schnulli Bulli;231;(s) JOYCE Grace 1:45.66 (2) 1:46.95 (1) 1:43.61 (2);Sammelmappe1.pdf (Seite 8)
233;Schnulli Bulli;232;1.80 2.04 1.59 0.73;Sammelmappe1.pdf (Seite 8)
234;Schnulli Bulli;233;3 3 UZB (b) PRAKATEN Anna 1:42.91 (1) 3:28.33 (1) 5:15.73 (1) 7:02.60 9;Sammelmappe1.pdf (Seite 8)
235;Schnulli Bulli;234;(s) TAGMATOVA Malika 1:45.42 (1) 1:47.40 (3) 1:46.87 (3);Sammelmappe1.pdf (Seite 8)
236;Schnulli Bulli;235;2.40;Sammelmappe1.pdf (Seite 8)
237;Schnulli Bulli;236;4 6 ESP (b) CID I CENTELLES Aina 1:45.83 (6) 3:34.02 (5) 5:22.01 (4) 7:09.53 10;Sammelmappe1.pdf (Seite 8)
238;Schnulli Bulli;237;(s) DIAZ RIVAS Virginia 1:48.19 (4) 1:47.99 (4) 1:47.52 (4);Sammelmappe1.pdf (Seite 8)
239;Schnulli Bulli;238;2.92 5.69 6.28 9.33;Sammelmappe1.pdf (Seite 8)
240;Schnulli Bulli;239;5 5 GBR (b) NYLAND Cameron 1:43.89 (3) 3:32.37 (4) 5:23.57 (5) 7:11.50 11;Sammelmappe1.pdf (Seite 8)
241;Schnulli Bulli;240;(s) GLOVER Lucy 1:48.48 (5) 1:51.20 (5) 1:47.93 (5);Sammelmappe1.pdf (Seite 8)
242;Schnulli Bulli;241;0.98 4.04 7.84 11.30;Sammelmappe1.pdf (Seite 8)
243;Schnulli Bulli;242;6 1 ROU (b) IFTENI Bianca-Camelia 1:45.70 (5) 3:35.45 (6) 5:27.16 (6) 7:15.71 12;Sammelmappe1.pdf (Seite 8)
244;Schnulli Bulli;243;(s) DUMITRU Mariana-Laura 1:49.75 (6) 1:51.71 (6) 1:48.55 (6);Sammelmappe1.pdf (Seite 8)
245;Schnulli Bulli;244;2.79 7.12 11.43 15.51;Sammelmappe1.pdf (Seite 8)
246;Schnulli Bulli;245;Legend:;Sammelmappe1.pdf (Seite 8)
247;Schnulli Bulli;246;b bow s stroke;Sammelmappe1.pdf (Seite 8)
248;Schnulli Bulli;247;F Final;Sammelmappe1.pdf (Seite 8)
249;Schnulli Bulli;248;INTERNET Service: www.worldrowing.com Page 1/1;Sammelmappe1.pdf (Seite 8)
250;Schnulli Bulli;249;World Rowing Data Service data processing by;Sammelmappe1.pdf (Seite 8)
251;Schnulli Bulli;250;Report Created FRI 26 SEP 2025 / 13:36;Sammelmappe1.pdf (Seite 8)
252;Schnulli Bulli;251;Shanghai, China 21 - 28 September 2025;Sammelmappe1.pdf (Seite 9)
253;Schnulli Bulli;252;5 Results W4-;Sammelmappe1.pdf (Seite 9)
254;Schnulli Bulli;253;(Event) Women's Four FA;Sammelmappe1.pdf (Seite 9)
255;Schnulli Bulli;254;FRI 26 SEP 2025 Race 111;Sammelmappe1.pdf (Seite 9)
256;Schnulli Bulli;255;World Best: NZL PRATT K. / BEVAN K. / PRENDERGAST G. / WILLIAMS K. Amsterdam (NED) 2014 World Championships 6:14.36;Sammelmappe1.pdf (Seite 9)
257;Schnulli Bulli;256;World Champ' Best: NZL PRATT K. / BEVAN K. / PRENDERGAST G. / WILLIAMS K. Amsterdam (NED) 2014 World Championships 6:14.36;Sammelmappe1.pdf (Seite 9)
258;Schnulli Bulli;257;World Champion: NED OLDENBURG M. / DRENTH H / OFFEREINS T / BOONSTRA B Belgrade (SRB) 2023 World Championships 6:41.82;Sammelmappe1.pdf (Seite 9)
259;Schnulli Bulli;258;Ctry Total;Sammelmappe1.pdf (Seite 9)
260;Schnulli Bulli;259;Rank Lane Name 500m 1000m 1500m 2000m;Sammelmappe1.pdf (Seite 9)
261;Schnulli Bulli;260;Code Rank;Sammelmappe1.pdf (Seite 9)
262;Schnulli Bulli;261;1 3 USA (b) VANDERMEER Camille 1:36.95 (3) 3:15.78 (1) 4:53.28 (1) 6:27.71 1;Sammelmappe1.pdf (Seite 9)
263;Schnulli Bulli;262;(2) CZAJKOWSKI Azja 1:38.83 (1) 1:37.50 (1) 1:34.43 (2);Sammelmappe1.pdf (Seite 9)
264;Schnulli Bulli;263;(3) COHEN Teal 1.22;Sammelmappe1.pdf (Seite 9)
265;Schnulli Bulli;264;(s) KNIFTON Kate;Sammelmappe1.pdf (Seite 9)
266;Schnulli Bulli;265;2 2 ROU (b) BODNAR Ancuta 1:38.04 (4) 3:17.58 (4) 4:56.02 (2) 6:28.44 2;Sammelmappe1.pdf (Seite 9)
267;Schnulli Bulli;266;(2) JUNCANARIU Geanina Dumitrit 1:39.54 (3) 1:38.44 (3) 1:32.42 (1);Sammelmappe1.pdf (Seite 9)
268;Schnulli Bulli;267;(3) ADAM Adriana 2.31 1.80 2.74 0.73;Sammelmappe1.pdf (Seite 9)
269;Schnulli Bulli;268;(s) BERES Amalia;Sammelmappe1.pdf (Seite 9)
270;Schnulli Bulli;269;3 4 NZL (b) LEQUEUX Juliette 1:38.78 (6) 3:18.04 (5) 4:56.07 (3) 6:31.11 3;Sammelmappe1.pdf (Seite 9)
271;Schnulli Bulli;270;(2) LEIGH Rebecca 1:39.26 (2) 1:38.03 (2) 1:35.04 (3);Sammelmappe1.pdf (Seite 9)
272;Schnulli Bulli;271;(3) BLAKE Isla 3.05 2.26 2.79 3.40;Sammelmappe1.pdf (Seite 9)
273;Schnulli Bulli;272;(s) SHERMAN Alana;Sammelmappe1.pdf (Seite 9)
274;Schnulli Bulli;273;4 5 NED (b) VOS Nika Johanna 1:36.44 (2) 3:16.79 (3) 4:56.54 (4) 6:33.33 4;Sammelmappe1.pdf (Seite 9)
275;Schnulli Bulli;274;(2) DRENTH Hermijntje 1:40.35 (4) 1:39.75 (4) 1:36.79 (4);Sammelmappe1.pdf (Seite 9)
276;Schnulli Bulli;275;(3) CLEVERING Ymkje 0.71 1.01 3.26 5.62;Sammelmappe1.pdf (Seite 9)
277;Schnulli Bulli;276;(s) OFFEREINS Tinka;Sammelmappe1.pdf (Seite 9)
278;Schnulli Bulli;277;5 1 GBR (b) IRWIN Lauren 1:35.73 (1) 3:16.30 (2) 4:56.69 (5) 6:33.76 5;Sammelmappe1.pdf (Seite 9)
279;Schnulli Bulli;278;(2) STEWART Eve 1:40.57 (5) 1:40.39 (5) 1:37.07 (5);Sammelmappe1.pdf (Seite 9)
280;Schnulli Bulli;279;(3) LONG Heidi 0.52 3.41 6.05;Sammelmappe1.pdf (Seite 9)
281;Schnulli Bulli;280;(s) SLABBERT Megan;Sammelmappe1.pdf (Seite 9)
282;Schnulli Bulli;281;6 6 CHN (b) WU Yongmei 1:38.72 (5) 3:19.54 (6) 5:00.34 (6) 6:41.30 6;Sammelmappe1.pdf (Seite 9)
283;Schnulli Bulli;282;(2) LIN Xinyu 1:40.82 (6) 1:40.80 (6) 1:40.96 (6);Sammelmappe1.pdf (Seite 9)
284;Schnulli Bulli;283;(3) JU Rui 2.99 3.76 7.06 13.59;Sammelmappe1.pdf (Seite 9)
285;Schnulli Bulli;284;(s) WANG Zifeng;Sammelmappe1.pdf (Seite 9)
286;Schnulli Bulli;285;Legend:;Sammelmappe1.pdf (Seite 9)
287;Schnulli Bulli;286;b bow (2)-(3) seat s stroke;Sammelmappe1.pdf (Seite 9)
288;Schnulli Bulli;287;F Final;Sammelmappe1.pdf (Seite 9)
289;Schnulli Bulli;288;INTERNET Service: www.worldrowing.com Page 1/1;Sammelmappe1.pdf (Seite 9)
290;Schnulli Bulli;289;World Rowing Data Service data processing by;Sammelmappe1.pdf (Seite 9)
291;Schnulli Bulli;290;Report Created FRI 26 SEP 2025 / 15:12;Sammelmappe1.pdf (Seite 9)
292;Schnulli Bulli;291;Shanghai, China 21 - 28 September 2025;Sammelmappe1.pdf (Seite 10)
293;Schnulli Bulli;292;5 Results W4-;Sammelmappe1.pdf (Seite 10)
294;Schnulli Bulli;293;(Event) Women's Four FB;Sammelmappe1.pdf (Seite 10)
295;Schnulli Bulli;294;FRI 26 SEP 2025 Race 105;Sammelmappe1.pdf (Seite 10)
296;Schnulli Bulli;295;World Best: NZL PRATT K. / BEVAN K. / PRENDERGAST G. / WILLIAMS K. Amsterdam (NED) 2014 World Championships 6:14.36;Sammelmappe1.pdf (Seite 10)
297;Schnulli Bulli;296;World Champ' Best: NZL PRATT K. / BEVAN K. / PRENDERGAST G. / WILLIAMS K. Amsterdam (NED) 2014 World Championships 6:14.36;Sammelmappe1.pdf (Seite 10)
298;Schnulli Bulli;297;World Champion: NED OLDENBURG M. / DRENTH H / OFFEREINS T / BOONSTRA B Belgrade (SRB) 2023 World Championships 6:41.82;Sammelmappe1.pdf (Seite 10)
299;Schnulli Bulli;298;Ctry Total;Sammelmappe1.pdf (Seite 10)
300;Schnulli Bulli;299;Rank Lane Name 500m 1000m 1500m 2000m;Sammelmappe1.pdf (Seite 10)
301;Schnulli Bulli;300;Code Rank;Sammelmappe1.pdf (Seite 10)
302;Schnulli Bulli;301;1 3 AUS (b) FREDERICO Emmie 1:37.94 (1) 3:19.37 (1) 5:00.98 (1) 6:41.31 7;Sammelmappe1.pdf (Seite 10)
303;Schnulli Bulli;302;(2) GAFFNEY Eliza 1:41.43 (1) 1:41.61 (1) 1:40.33 (1);Sammelmappe1.pdf (Seite 10)
304;Schnulli Bulli;303;(3) ROWE Georgie;Sammelmappe1.pdf (Seite 10)
305;Schnulli Bulli;304;(s) SWICK Jacqui;Sammelmappe1.pdf (Seite 10)
306;Schnulli Bulli;305;2 2 CAN (b) DE PAIVA Caroline 1:38.65 (2) 3:21.10 (2) 5:04.27 (2) 6:44.89 8;Sammelmappe1.pdf (Seite 10)
307;Schnulli Bulli;306;(2) CRONK Alexis 1:42.45 (2) 1:43.17 (3) 1:40.62 (3);Sammelmappe1.pdf (Seite 10)
308;Schnulli Bulli;307;(3) JONES Sally 0.71 1.73 3.29 3.58;Sammelmappe1.pdf (Seite 10)
309;Schnulli Bulli;308;(s) RANDALL Brenna;Sammelmappe1.pdf (Seite 10)
310;Schnulli Bulli;309;3 4 IRL (b) MAGNER Imogen 1:41.69 (4) 3:24.86 (4) 5:06.65 (3) 6:48.01 9;Sammelmappe1.pdf (Seite 10)
311;Schnulli Bulli;310;(2) HAYES Aisling 1:43.17 (3) 1:41.79 (2) 1:41.36 (5);Sammelmappe1.pdf (Seite 10)
312;Schnulli Bulli;311;(3) WATERS Emma 3.75 5.49 5.67 6.70;Sammelmappe1.pdf (Seite 10)
313;Schnulli Bulli;312;(s) LONG Natalie;Sammelmappe1.pdf (Seite 10)
314;Schnulli Bulli;313;4 5 FRA (b) AERNOUDTS Violaine 1:42.79 (5) 3:26.69 (5) 5:11.34 (5) 6:52.50 10;Sammelmappe1.pdf (Seite 10)
315;Schnulli Bulli;314;(2) BOSQUET Mya 1:43.90 (4) 1:44.65 (4) 1:41.16 (4);Sammelmappe1.pdf (Seite 10)
316;Schnulli Bulli;315;(3) BAILLEUL Margaux 4.85 7.32 10.36 11.19;Sammelmappe1.pdf (Seite 10)
317;Schnulli Bulli;316;(s) VAUCORET Fleur;Sammelmappe1.pdf (Seite 10)
318;Schnulli Bulli;317;5 1 DEN (b) KELLER Elisabeth Kaalun 1:40.34 (3) 3:24.36 (3) 5:10.40 (4) 6:52.89 11;Sammelmappe1.pdf (Seite 10)
319;Schnulli Bulli;318;(2) VIGILD Nanna 1:44.02 (5) 1:46.04 (6) 1:42.49 (6);Sammelmappe1.pdf (Seite 10)
320;Schnulli Bulli;319;(3) FROST Karen 2.40 4.99 9.42 11.58;Sammelmappe1.pdf (Seite 10)
321;Schnulli Bulli;320;(s) THORSEN Amalie Louise;Sammelmappe1.pdf (Seite 10)
322;Schnulli Bulli;321;6 6 JPN (b) KINOTA Sahoko 1:43.09 (6) 3:28.64 (6) 5:13.73 (6) 6:54.29 12;Sammelmappe1.pdf (Seite 10)
323;Schnulli Bulli;322;(2) SAKAKIBARA Haruna 1:45.55 (6) 1:45.09 (5) 1:40.56 (2);Sammelmappe1.pdf (Seite 10)
324;Schnulli Bulli;323;(3) TAKANO Akiho 5.15 9.27 12.75 12.98;Sammelmappe1.pdf (Seite 10)
325;Schnulli Bulli;324;(s) SUZUKI Rena;Sammelmappe1.pdf (Seite 10)
326;Schnulli Bulli;325;Legend:;Sammelmappe1.pdf (Seite 10)
327;Schnulli Bulli;326;b bow (2)-(3) seat s stroke;Sammelmappe1.pdf (Seite 10)
328;Schnulli Bulli;327;F Final;Sammelmappe1.pdf (Seite 10)
329;Schnulli Bulli;328;INTERNET Service: www.worldrowing.com Page 1/1;Sammelmappe1.pdf (Seite 10)
330;Schnulli Bulli;329;World Rowing Data Service data processing by;Sammelmappe1.pdf (Seite 10)
331;Schnulli Bulli;330;Report Created FRI 26 SEP 2025 / 13:52;Sammelmappe1.pdf (Seite 10)
